unique_id,cnn_intrsctn_pkey,intrsctn_grp,intrsctn_type,case_id_pkey,accident_year,collision_date,collision_time,time_cat,day_of_week,special_cond,primary_rd,secondary_rd,distance,direction,intersection,weather_1,weather_2,location_type,ramp_intersection,side_of_hwy,tow_away,collision_severity,number_killed,number_injured,party_count,primary_coll_factor,pcf_viol_category,hit_and_run,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,truck_accident,alcohol_involved,stwd_vehtype_at_fault,chp_vehtype_at_fault,count_severe_inj,count_visible_inj,count_complaint_pain,count_ped_killed,count_ped_injured,primary_ramp,secondary_ramp,party_number_ckey,party_type,at_fault,party_sex,party_age,party_sobriety,party_drug_physical,dir_of_travel,party_safety_equip_1,party_safety_equip_2,sp_info_1,sp_info_2,sp_info_3,oaf_violation_code,oaf_viol_cat,oaf_viol_section,oaf_violation_suffix,oaf_1,oaf_2,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,vehicle_make,stwd_vehicle_type,inattention,mv_involved,col_comb,dph_col_type,dph_col_grp
1,20085000,0,INTERSECTIONS,3844983,2008,20080815,2034,D,5,0,INGALLS ST,HUDSON AV,26,N,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,B,A,H,-,C,A,,,N,60,0,1,0,0,1,-,-,2,1,N,F,50,A,-,N,P,D,-,3,-,-,-,,,N,-,0,0,E,2007,OTHER - BUS,I,,,1 2,E,BB
2,20085000,0,INTERSECTIONS,3844983,2008,20080815,2034,D,5,0,INGALLS ST,HUDSON AV,26,N,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,B,A,H,-,C,A,,,N,60,0,1,0,0,1,-,-,1,2,Y,F,53,G,G,E,-,-,-,-,-,-,-,,,N,-,0,1,-,,-,N,,,1 2,E,BB
3,20087000,0,INTERSECTIONS,3437648,2007,20071016,933,A,2,0,HUDSON AV,BERTHA LN,2,E,N,B,-,,,,N,4,0,1,2,A,12,F,-,B,E,B,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,M,27,-,,S,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
4,20087000,0,INTERSECTIONS,3437648,2007,20071016,933,A,2,0,HUDSON AV,BERTHA LN,2,E,N,B,-,,,,N,4,0,1,2,A,12,F,-,B,E,B,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,998,G,G,W,-,-,-,-,-,,19,20001,A,A,-,0,0,B,,BUICK,A,,,1 2,E,BB
5,20096000,0,INTERSECTIONS,5055457,2011,20110107,1450,C,5,0,GILMAN AV,GRIFFITH ST,195,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,G,-,A,D,,,N,60,0,1,0,0,1,-,-,2,1,N,M,57,A,-,E,M,G,-,3,-,-,-,,,N,-,0,0,B,1999,FORD,A,,,1 2,E,BB
6,20096000,0,INTERSECTIONS,5055457,2011,20110107,1450,C,5,0,GILMAN AV,GRIFFITH ST,195,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,G,-,A,D,,,N,60,0,1,0,0,1,-,-,1,2,Y,M,9,A,-,N,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7,20097000,0,INTERSECTIONS,6040276,2012,20121013,1820,,6,0,BILL WALSH WY,GILMAN AV,90,S,N,A,-,,,,N,2,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,1,0,0,0,1,-,-,2,1,N,F,32,A,-,N,M,G,-,3,-,-,-,,,N,-,0,0,B,2002,LEXUS,A,,,1 2,E,BB
8,20097000,0,INTERSECTIONS,6040276,2012,20121013,1820,,6,0,BILL WALSH WY,GILMAN AV,90,S,N,A,-,,,,N,2,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,1,0,0,0,1,-,-,1,2,Y,M,4,H,H,-,-,-,-,-,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
9,20099000,0,INTERSECTIONS,2706297,2006,20060622,17,E,4,0,NICHOLS WY,CAMERON WY,366,E,N,A,-,,,,Y,3,0,1,3,A,3,F,G,B,E,A,H,-,C,D,,,A,7,0,1,0,0,1,-,-,2,2,N,M,56,A,-,W,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2 3,E,BB
10,20099000,0,INTERSECTIONS,4352429,2009,20090814,310,F,5,0,NICHOLS WY,CAMERON WY,0,,Y,A,-,,,,N,4,0,1,2,A,11,F,B,B,D,A,H,-,C,D,,,A,7,0,0,1,0,1,-,-,2,2,N,F,52,-,,E,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
11,20099000,0,INTERSECTIONS,2706297,2006,20060622,17,E,4,0,NICHOLS WY,CAMERON WY,366,E,N,A,-,,,,Y,3,0,1,3,A,3,F,G,B,E,A,H,-,C,D,,,A,7,0,1,0,0,1,-,-,1,1,Y,M,39,G,G,W,M,B,-,-,-,-,-,,,-,-,0,0,-,1999,DODGE,A,,,1 2 3,E,BB
12,20099000,0,INTERSECTIONS,4352429,2009,20090814,310,F,5,0,NICHOLS WY,CAMERON WY,0,,Y,A,-,,,,N,4,0,1,2,A,11,F,B,B,D,A,H,-,C,D,,,A,7,0,0,1,0,1,-,-,1,1,Y,M,998,G,G,N,-,-,-,3,-,-,-,,,N,-,0,0,R,,-,A,,,1 2,E,BB
13,20099000,0,INTERSECTIONS,2706297,2006,20060622,17,E,4,0,NICHOLS WY,CAMERON WY,366,E,N,A,-,,,,Y,3,0,1,3,A,3,F,G,B,E,A,H,-,C,D,,,A,7,0,1,0,0,1,-,-,3,3,N,-,998,-,,-,-,-,-,-,-,-,-,,,-,-,0,0,-,1985,CADILLAC,A,,,1 2 3,E,BB
14,20107000,0,INTERSECTIONS,3342320,2007,20070827,2025,D,1,0,FITZGERALD AV,HAWES ST,84,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,-,D,A,H,-,C,D,,Y,N,60,0,1,0,0,1,-,-,1,2,Y,M,57,B,-,S,-,-,-,3,-,-,-,,,-,-,0,1,L,,-,N,,,1 2,E,BB
15,20107000,0,INTERSECTIONS,3342320,2007,20070827,2025,D,1,0,FITZGERALD AV,HAWES ST,84,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,-,D,A,H,-,C,D,,Y,N,60,0,1,0,0,1,-,-,2,1,N,F,22,A,-,W,G,-,-,3,-,-,-,,,-,-,0,0,B,1983,TOYOTA,A,,,1 2,E,BB
16,20124000,0,INTERSECTIONS,5778633,2012,20120608,1526,,5,0,SHAFTER AV,INGALLS ST,312,E,N,A,-,,,,N,4,0,1,2,A,11,N,D,B,D,A,H,-,A,D,,,N,60,0,0,1,0,1,-,-,2,1,N,M,68,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,B,2006,TOYOTA,D,,,1 2,E,BB
17,20124000,0,INTERSECTIONS,2079335,2005,20050605,1500,C,7,0,SHAFTER,INGALLS,98,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,0,1,0,0,1,-,-,2,2,Y,F,85,A,-,N,-,-,-,-,-,-,-,,,F,-,0,1,-,,-,N,-,,1 2,E,BB
