A,B,FT,STREETNAME,TYPE,MTYPE,DISTANCE,LANE_AM,LANE_OP,LANE_PM,EA_PCE,AM_PCE,MD_PCE,PM_PCE,EV_PCE,DAY_PCE
6956000,40029000,2,HWY 101 NORTHBOUND,,SF,0.1532,4,4,4,3135.17773,15302.50586,39985.65625,21927.97852,29433.36914,109784.6875
6985000,52492000,4,ALANA,WY,SF,0.1049,1,1,1,79.42234,313.29224,710.53784,203.30818,338.1741,1644.73474
6986000,50856000,4,TUNNEL,AVE,SF,0.1172,1,1,1,0,0,0.5,41.27993,0.23,42.00993
7678000,51171000,3,SKYLINE,BLVD,SF,0.7164,2,2,2,355.65945,3728.41064,10527.87207,6648.5752,7220.50684,28481.02344
7686000,52449000,2,,,SF,0.30687,5,5,5,2244.38208,17599.18359,42477.13281,22335.4043,28595.66211,113251.7656
7702000,52234000,5,I-280 S ON-RAMP,,SF,0.1524,1,1,1,576.02374,3793.552,9412.09277,5026.19238,6688.0752,25495.93555
7702000,52448000,7,JUNIPERO SERRA,BLVD,SF,0.2077,1,1,1,217.17236,1476.92542,4434.12305,3127.65625,3295.20044,12551.07715
7703000,40020000,7,SAN JOSE,AVE,SF,0.0244,2,2,2,200.83295,2069.46265,6495.7793,5475.67676,3940.23877,18181.99023
7711000,7712000,4,DELONG,,SF,0.07833,1,1,1,23.53393,424.51984,231.76974,69.07553,102.62716,851.52618
7711000,52457000,11,DE LONG,,SF,0.0696,1,1,1,1.7225,29.58036,94.44637,165.71945,76.47504,367.94373
7712000,7711000,4,DELONG,,SF,0.07833,2,2,2,1.6625,25.75321,79.6353,140.08302,67.38968,314.52371
7719000,50995000,15,BAYSHORE,BLVD,SF,0.0487,2,2,2,217.48859,1617.9364,5709.80664,3195.48633,4193.05469,14933.77246
7719000,50999000,7,GENEVA,AVE,SF,0.12452,2,2,2,110.2124,777.67371,3039.86694,2349.17334,2079.88452,8356.81055
7972000,52839000,2,I-80 WESTBD,,SF,0.7204,5,5,5,6636.72461,23833.97461,46387.75391,21530.49219,28494.90234,126883.8438
8322000,52267000,2,,,SF,0.0634,4,3,2,2925.60132,13848.22559,28846.19727,8562.45508,9184.17871,63366.65625
20006000,20259000,4,JAMESTOWN,AVE,SF,0.26,2,2,2,31.14213,127.98983,536.67981,302.30801,351.10471,1349.22449
20006000,33646000,4,HUNTERS POINT,EX,SF,0.26,2,2,2,0.01641,1.00055,2.29698,0.46907,1.58569,5.36869
20010000,20435000,4,JAMESTOWN,AVE,SF,0.05,2,2,2,0,0,0.015,0,0.015,0.03
20010000,28144000,4,JAMESTOWN,AVE,SF,0.07,2,2,2,1.59177,9.10483,35.00383,10.14076,9.35584,65.19703
20011000,20097000,4,GIANTS,DR,SF,0.11,1,1,1,4.41761,106.27077,68.84148,35.19308,21.62439,236.34732
20011000,20101000,11,INGERSON,AVE,SF,0.07,1,1,1,0.6657,38.10942,61.69904,40.44515,56.10868,197.02798
20011000,52491000,4,GIANTS,DR,SF,0.2562,1,1,1,0.12,0.66,1.9275,0.48143,1.4425,4.63143
20013000,20101000,11,GILROY,ST,SF,0.07,1,1,1,0,0,0,0,0,0
